adm1_name,Year,Month,Trigger,TriggerLevel,FrcstThreshold,RainFcstV2,ENACTSThreshold,ENACTSrain
Quthing,2023,June,35,mild,38.4,51.2,164.7,
Quthing,2023,June,25,moderate,32,42,160.2,
Quthing,2023,June,15,severe,24.9,32.3,115.4,
Mohale's Hoek,2023,June,35,mild,40.5,53.1,181.4,
Mohale's Hoek,2023,June,25,moderate,32.4,42.7,153.7,
Mohale's Hoek,2023,June,15,severe,22.6,29.6,107.5,
Qacha's Nek,2023,June,35,mild,42.3,54.2,219.3,
Qacha's Nek,2023,June,25,moderate,32.3,42.1,172.9,
Qacha's Nek,2023,June,15,severe,22,27.7,141.6,
Mafeteng,2023,June,35,mild,39,51.4,168.8,
Mafeteng,2023,June,25,moderate,31.2,40.6,147.8,
Mafeteng,2023,June,15,severe,19.9,26.9,102.4,
Maseru,2023,June,35,mild,40.6,55.3,205.43,
Maseru,2023,June,25,moderate,33.3,46.6,199,
Maseru,2023,June,15,severe,23.8,33.6,129.4,
Thaba Tseka,2023,June,35,mild,40.2,55.3,197.3,
Thaba Tseka,2023,June,25,moderate,33.1,45,177.9,
Thaba Tseka,2023,June,15,severe,24.9,33.9,146.8,
Mokhotlong,2023,June,35,mild,39.2,52.6,205.9,
Mokhotlong,2023,June,25,moderate,33.7,44.9,187.2,
Mokhotlong,2023,June,15,severe,25.4,34.4,149.5,
Berea,2023,June,35,mild,39,57,225.2,
Berea,2023,June,25,moderate,32.9,48.2,192.7,
Berea,2023,June,15,severe,23.4,35.5,160.6,
Leribe,2023,June,35,mild,38.6,57.7,227.4,
Leribe,2023,June,25,moderate,32.4,47.9,197.7,
Leribe,2023,June,15,severe,24.7,36.3,169.8,
Butha Buthe,2023,June,35,mild,40.4,59,288.5,
Butha Buthe,2023,June,25,moderate,34.9,51.2,268.5,
Butha Buthe,2023,June,15,severe,26.5,40.7,209.9,
National,2023,June,35,mild,39.7,54.4,201.7,
National,2023,June,25,moderate,32.8,44.9,188.2,
National,2023,June,15,severe,24.5,33.1,146.7,